,LEVEL,POSITION,EXPERIENCE,GENDER,COMPANY,WORK_TYPE,CITY,CURRENCY,SALARY_AVG_TL
32,Senior,TEAM / TECH LEAD,10 - 14 Yıl,Erkek,Outsource,Hibrit,yurt_ici,₺ - Türk Lirası,25499
33,Senior,TEAM / TECH LEAD,15 Yıl ve üzeri,Erkek,Startup,Hibrit,yurt_ici,₺ - Türk Lirası,18499
34,Junior,FULL STACK DEVELOPER,0 - 1 Yıl,Erkek,Kurumsal,Geçici Remote,yurt_ici,₺ - Türk Lirası,8499
35,Middle,BACK-END DEVELOPER,1 - 3 Yıl,Erkek,Kurumsal,Remote,yurt_disi,₺ - Türk Lirası,25499
36,Middle,BACK-END DEVELOPER,3 - 5 Yıl,Erkek,Outsource,Hibrit,yurt_ici,₺ - Türk Lirası,21499
37,Senior,BACK-END DEVELOPER,5 - 7 Yıl,Erkek,Kurumsal,Hibrit,yurt_ici,₺ - Türk Lirası,20499
38,Middle,FULL STACK DEVELOPER,3 - 5 Yıl,Kadın,DIGER,Hibrit,yurt_ici,₺ - Türk Lirası,10499
39,Junior,FRONT-END DEVELOPER,0 - 1 Yıl,Erkek,Kurumsal,Geçici Remote,yurt_ici,₺ - Türk Lirası,7499
40,Middle,BACK-END DEVELOPER,3 - 5 Yıl,Erkek,Yazılım & Teknoloji,Remote,yurt_ici,₺ - Türk Lirası,15499
41,Senior,TEAM / TECH LEAD,15 Yıl ve üzeri,Erkek,Kurumsal,Hibrit,yurt_ici,₺ - Türk Lirası,13499
42,Senior,FRONT-END DEVELOPER,7 - 10 Yıl,Erkek,Startup,Remote,yurt_disi,₺ - Türk Lirası,12499
43,Junior,FRONT-END DEVELOPER,0 - 1 Yıl,Erkek,Kurumsal,Hibrit,yurt_ici,₺ - Türk Lirası,6499
44,Junior,BACK-END DEVELOPER,0 - 1 Yıl,Erkek,Startup,Remote,yurt_ici,₺ - Türk Lirası,8499
45,Senior,BACK-END DEVELOPER,5 - 7 Yıl,Erkek,Kurumsal,Remote,yurt_ici,₺ - Türk Lirası,22499
46,Senior,BACK-END DEVELOPER,5 - 7 Yıl,Erkek,Startup,Remote,yurt_ici,₺ - Türk Lirası,27499
47,Senior,SOFTWARE DEVELOPMENT MANAGER,10 - 14 Yıl,Erkek,Startup,Remote,yurt_ici,$ - Dolar,139715
48,Junior,FULL STACK DEVELOPER,1 - 3 Yıl,Erkek,Kurumsal,Hibrit,yurt_ici,₺ - Türk Lirası,6499
49,Middle,EMBEDDED SOFTWARE DEVELOPER,1 - 3 Yıl,Erkek,Kurumsal,Ofis,yurt_ici,₺ - Türk Lirası,13499
50,Senior,GAME DEVELOPER,3 - 5 Yıl,Erkek,Oyun,Remote,yurt_ici,₺ - Türk Lirası,30499
51,Junior,BACK-END DEVELOPER,1 - 3 Yıl,Erkek,Outsource,Hibrit,yurt_ici,₺ - Türk Lirası,10499
52,Junior,BACK-END DEVELOPER,0 - 1 Yıl,Erkek,Startup,Ofis,yurt_ici,₺ - Türk Lirası,6499
53,Junior,MOBILE APPLICATION DEVELOPER,1 - 3 Yıl,Erkek,Kurumsal,Geçici Remote,yurt_ici,₺ - Türk Lirası,13499
54,Junior,FRONT-END DEVELOPER,1 - 3 Yıl,Erkek,Kurumsal,Ofis,yurt_ici,₺ - Türk Lirası,5499
55,Junior,EMBEDDED SOFTWARE DEVELOPER,0 - 1 Yıl,Erkek,Kurumsal,Hibrit,yurt_ici,₺ - Türk Lirası,13499
56,Middle,FULL STACK DEVELOPER,1 - 3 Yıl,Kadın,Kurumsal,Ofis,yurt_ici,₺ - Türk Lirası,11499
57,Middle,DATA SCIENTIST,3 - 5 Yıl,Erkek,Kurumsal,Hibrit,yurt_ici,₺ - Türk Lirası,18499
58,Junior,GAME DEVELOPER,1 - 3 Yıl,Erkek,Oyun,Remote,yurt_ici,₺ - Türk Lirası,9499
59,Middle,MOBILE APPLICATION DEVELOPER,3 - 5 Yıl,Erkek,Kurumsal,Geçici Remote,yurt_ici,₺ - Türk Lirası,12499
60,Senior,FULL STACK DEVELOPER,7 - 10 Yıl,Erkek,Kurumsal,Ofis,yurt_ici,₺ - Türk Lirası,6499
61,Middle,FRONT-END DEVELOPER,1 - 3 Yıl,Kadın,E-Ticaret,Remote,yurt_ici,₺ - Türk Lirası,15499
62,Junior,BACK-END DEVELOPER,0 - 1 Yıl,Erkek,Kurumsal,Remote,yurt_ici,₺ - Türk Lirası,9499
63,Senior,TEAM / TECH LEAD,10 - 14 Yıl,Erkek,E-Ticaret,Geçici Remote,yurt_disi,€ - Euro,107075
64,Senior,BACK-END DEVELOPER,10 - 14 Yıl,Erkek,Outsource,Hibrit,yurt_ici,₺ - Türk Lirası,14499
65,Middle,BACK-END DEVELOPER,3 - 5 Yıl,Erkek,Kurumsal,Geçici Remote,yurt_ici,₺ - Türk Lirası,26499
66,Senior,BACK-END DEVELOPER,7 - 10 Yıl,Erkek,Startup,Hibrit,yurt_ici,₺ - Türk Lirası,19499
67,Senior,MOBILE APPLICATION DEVELOPER,5 - 7 Yıl,Erkek,Kurumsal,Hibrit,yurt_ici,₺ - Türk Lirası,25499
68,Middle,BACK-END DEVELOPER,3 - 5 Yıl,Erkek,Kurumsal,Hibrit,yurt_ici,₺ - Türk Lirası,12499
69,Middle,FULL STACK DEVELOPER,1 - 3 Yıl,Erkek,Startup,Remote,yurt_ici,$ - Dolar,46565
70,Middle,TEAM / TECH LEAD,3 - 5 Yıl,Erkek,Kurumsal,Hibrit,yurt_ici,₺ - Türk Lirası,22499
71,Middle,FULL STACK DEVELOPER,3 - 5 Yıl,Erkek,Kurumsal,Ofis,yurt_disi,₺ - Türk Lirası,9499
72,Senior,FULL STACK DEVELOPER,5 - 7 Yıl,Erkek,Startup,Remote,yurt_ici,₺ - Türk Lirası,30499
73,Middle,FRONT-END DEVELOPER,3 - 5 Yıl,Erkek,Outsource,Hibrit,yurt_ici,€ - Euro,48665
74,Senior,FRONT-END DEVELOPER,5 - 7 Yıl,Erkek,E-Ticaret,Remote,yurt_ici,₺ - Türk Lirası,20499
75,Senior,FULL STACK DEVELOPER,10 - 14 Yıl,Erkek,Startup,Hibrit,yurt_ici,€ - Euro,48665
76,Senior,BACK-END DEVELOPER,10 - 14 Yıl,Erkek,Startup,Hibrit,yurt_ici,₺ - Türk Lirası,25499
77,Middle,FULL STACK DEVELOPER,3 - 5 Yıl,Erkek,Startup,Remote,yurt_ici,€ - Euro,48665
78,Senior,TEAM / TECH LEAD,10 - 14 Yıl,Erkek,Kurumsal,Geçici Hibrit,yurt_ici,₺ - Türk Lirası,20499
79,Senior,BACK-END DEVELOPER,5 - 7 Yıl,Erkek,E-Ticaret,Geçici Remote,yurt_ici,₺ - Türk Lirası,18499
80,Middle,BACK-END DEVELOPER,1 - 3 Yıl,Erkek,Kurumsal,Geçici Hibrit,yurt_ici,₺ - Türk Lirası,17499
81,Junior,GAME DEVELOPER,1 - 3 Yıl,Erkek,Startup,Ofis,yurt_ici,₺ - Türk Lirası,5499
82,Senior,SOFTWARE ARCHITECT,7 - 10 Yıl,Erkek,Kurumsal,Hibrit,yurt_ici,₺ - Türk Lirası,23499
83,Middle,BACK-END DEVELOPER,5 - 7 Yıl,Erkek,E-Ticaret,Remote,yurt_ici,₺ - Türk Lirası,17499
84,Senior,FULL STACK DEVELOPER,5 - 7 Yıl,Erkek,Kurumsal,Remote,yurt_ici,$ - Dolar,46565
85,Junior,BACK-END DEVELOPER,1 - 3 Yıl,Erkek,Outsource,Hibrit,yurt_ici,₺ - Türk Lirası,9499
86,Middle,OTHERS,1 - 3 Yıl,Erkek,Outsource,Geçici Remote,yurt_ici,₺ - Türk Lirası,16499
87,Senior,BACK-END DEVELOPER,5 - 7 Yıl,Erkek,Kurumsal,Remote,yurt_ici,₺ - Türk Lirası,19499
88,Middle,BACK-END DEVELOPER,3 - 5 Yıl,Erkek,E-Ticaret,Remote,yurt_ici,₺ - Türk Lirası,9499
89,Middle,FULL STACK DEVELOPER,1 - 3 Yıl,Erkek,Kurumsal,Remote,yurt_ici,₺ - Türk Lirası,16499
90,Junior,MOBILE APPLICATION DEVELOPER,1 - 3 Yıl,Kadın,Kurumsal,Remote,yurt_ici,₺ - Türk Lirası,11499
91,Senior,EMBEDDED SOFTWARE DEVELOPER,7 - 10 Yıl,Erkek,Kurumsal,Remote,yurt_disi,$ - Dolar,46565
92,Middle,BACK-END DEVELOPER,3 - 5 Yıl,Erkek,Outsource,Remote,yurt_ici,₺ - Türk Lirası,16499
93,Junior,FULL STACK DEVELOPER,0 - 1 Yıl,Erkek,Kurumsal,Remote,yurt_ici,₺ - Türk Lirası,5499
94,Junior,BACK-END DEVELOPER,0 - 1 Yıl,Erkek,Kurumsal,Geçici Remote,yurt_ici,₺ - Türk Lirası,6499
95,Junior,DATA SCIENTIST,0 - 1 Yıl,Erkek,Startup,Ofis,yurt_ici,₺ - Türk Lirası,5499
96,Middle,FULL STACK DEVELOPER,3 - 5 Yıl,Erkek,E-Ticaret,Remote,yurt_ici,₺ - Türk Lirası,20499
97,Junior,FRONT-END DEVELOPER,0 - 1 Yıl,Erkek,E-Ticaret,Remote,yurt_ici,₺ - Türk Lirası,15499
98,Middle,BACK-END DEVELOPER,1 - 3 Yıl,Erkek,E-Ticaret,Hibrit,yurt_ici,₺ - Türk Lirası,19499
99,Middle,FRONT-END DEVELOPER,10 - 14 Yıl,Erkek,E-Ticaret,Geçici Remote,yurt_ici,₺ - Türk Lirası,28499
100,Middle,QA / TEST AUTOMATION DEVELOPER,3 - 5 Yıl,Erkek,Kurumsal,Geçici Remote,yurt_disi,$ - Dolar,195605
101,Senior,BACK-END DEVELOPER,5 - 7 Yıl,Erkek,Startup,Geçici Remote,yurt_ici,₺ - Türk Lirası,22499
102,Middle,MOBILE APPLICATION DEVELOPER,1 - 3 Yıl,Erkek,Kurumsal,Hibrit,yurt_ici,₺ - Türk Lirası,10499
103,Senior,BACK-END DEVELOPER,7 - 10 Yıl,Erkek,Startup,Remote,yurt_disi,₺ - Türk Lirası,20499
104,Senior,BACK-END DEVELOPER,5 - 7 Yıl,Erkek,Kurumsal,Remote,yurt_ici,₺ - Türk Lirası,26499
105,Middle,FULL STACK DEVELOPER,3 - 5 Yıl,Erkek,Startup,Remote,yurt_disi,$ - Dolar,65195
106,Middle,FULL STACK DEVELOPER,3 - 5 Yıl,Erkek,Kurumsal,Geçici Hibrit,yurt_ici,₺ - Türk Lirası,15499
107,Senior,FULL STACK DEVELOPER,7 - 10 Yıl,Erkek,Kurumsal,Remote,yurt_ici,₺ - Türk Lirası,17499
108,Senior,BACK-END DEVELOPER,10 - 14 Yıl,Erkek,Kurumsal,Ofis,yurt_ici,₺ - Türk Lirası,27499
109,Junior,MOBILE APPLICATION DEVELOPER,0 - 1 Yıl,Erkek,Kurumsal,Remote,yurt_ici,₺ - Türk Lirası,8499
110,Senior,BACK-END DEVELOPER,7 - 10 Yıl,Erkek,Kurumsal,Remote,yurt_ici,₺ - Türk Lirası,16499
111,Junior,QA / TEST AUTOMATION DEVELOPER,0 - 1 Yıl,Kadın,Outsource,Remote,yurt_ici,₺ - Türk Lirası,6499
112,Senior,BACK-END DEVELOPER,10 - 14 Yıl,Erkek,Kurumsal,Ofis,yurt_ici,₺ - Türk Lirası,15499
113,Junior,BACK-END DEVELOPER,0 - 1 Yıl,Erkek,E-Ticaret,Remote,yurt_ici,₺ - Türk Lirası,12499
114,Middle,FRONT-END DEVELOPER,1 - 3 Yıl,Erkek,Kurumsal,Hibrit,yurt_ici,₺ - Türk Lirası,12499
115,Senior,FULL STACK DEVELOPER,5 - 7 Yıl,Erkek,Kurumsal,Hibrit,yurt_ici,₺ - Türk Lirası,26499
116,Middle,FULL STACK DEVELOPER,1 - 3 Yıl,Erkek,Kurumsal,Hibrit,yurt_ici,₺ - Türk Lirası,16499
117,Junior,FULL STACK DEVELOPER,1 - 3 Yıl,Erkek,Startup,Hibrit,yurt_ici,₺ - Türk Lirası,5499
118,Middle,GAME DEVELOPER,3 - 5 Yıl,Erkek,Oyun,Remote,yurt_ici,₺ - Türk Lirası,25499
119,Senior,FULL STACK DEVELOPER,7 - 10 Yıl,Erkek,Kurumsal,Geçici Hibrit,yurt_ici,₺ - Türk Lirası,6499
120,Middle,BACK-END DEVELOPER,3 - 5 Yıl,Erkek,Kurumsal,Remote,yurt_ici,₺ - Türk Lirası,14499
121,Senior,FULL STACK DEVELOPER,7 - 10 Yıl,Erkek,Dijital / Reklam Ajansı,Remote,yurt_ici,₺ - Türk Lirası,10499
122,Senior,BACK-END DEVELOPER,10 - 14 Yıl,Erkek,Dijital / Reklam Ajansı,Remote,yurt_ici,₺ - Türk Lirası,15499
123,Junior,FULL STACK DEVELOPER,0 - 1 Yıl,Erkek,Kurumsal,Geçici Remote,yurt_ici,₺ - Türk Lirası,7499
124,Senior,FULL STACK DEVELOPER,5 - 7 Yıl,Erkek,Kurumsal,Remote,yurt_ici,₺ - Türk Lirası,19499
125,Middle,FULL STACK DEVELOPER,1 - 3 Yıl,Erkek,Kurumsal,Geçici Remote,yurt_ici,₺ - Türk Lirası,11499
126,Middle,BACK-END DEVELOPER,3 - 5 Yıl,Erkek,E-Ticaret,Remote,yurt_ici,₺ - Türk Lirası,27499
127,Senior,FULL STACK DEVELOPER,15 Yıl ve üzeri,Erkek,Outsource,Geçici Hibrit,yurt_disi,₺ - Türk Lirası,14499
128,Middle,FULL STACK DEVELOPER,1 - 3 Yıl,Erkek,E-Ticaret,Remote,yurt_disi,₺ - Türk Lirası,13499
129,Middle,FULL STACK DEVELOPER,1 - 3 Yıl,Erkek,Startup,Remote,yurt_ici,₺ - Türk Lirası,17499
130,Middle,FULL STACK DEVELOPER,3 - 5 Yıl,Erkek,E-Ticaret,Remote,yurt_ici,₺ - Türk Lirası,21499
131,Senior,SOFTWARE DEVELOPMENT MANAGER,10 - 14 Yıl,Erkek,Kurumsal,Hibrit,yurt_ici,₺ - Türk Lirası,39499
132,Middle,BACK-END DEVELOPER,5 - 7 Yıl,Erkek,Kurumsal,Remote,yurt_ici,₺ - Türk Lirası,15499
133,Junior,MOBILE APPLICATION DEVELOPER,0 - 1 Yıl,Erkek,Startup,Remote,yurt_disi,₺ - Türk Lirası,9499
134,Senior,BACK-END DEVELOPER,5 - 7 Yıl,Erkek,Kurumsal,Remote,yurt_ici,₺ - Türk Lirası,18499
135,Middle,FRONT-END DEVELOPER,1 - 3 Yıl,Erkek,E-Ticaret,Remote,yurt_ici,₺ - Türk Lirası,20499
136,Middle,BACK-END DEVELOPER,1 - 3 Yıl,Erkek,Kurumsal,Hibrit,yurt_ici,₺ - Türk Lirası,9499
137,Middle,FRONT-END DEVELOPER,3 - 5 Yıl,Kadın,Outsource,Geçici Remote,yurt_ici,₺ - Türk Lirası,12499
138,Middle,QA / TEST AUTOMATION DEVELOPER,3 - 5 Yıl,Erkek,E-Ticaret,Geçici Remote,yurt_ici,₺ - Türk Lirası,16499
139,Senior,TEAM / TECH LEAD,5 - 7 Yıl,Erkek,Kurumsal,Geçici Hibrit,yurt_ici,₺ - Türk Lirası,29499
140,Middle,MOBILE APPLICATION DEVELOPER,1 - 3 Yıl,Erkek,Kurumsal,Hibrit,yurt_ici,₺ - Türk Lirası,15499
141,Middle,BACK-END DEVELOPER,3 - 5 Yıl,Erkek,E-Ticaret,Hibrit,yurt_ici,₺ - Türk Lirası,25499
142,Middle,FRONT-END DEVELOPER,3 - 5 Yıl,Erkek,Oyun,Hibrit,yurt_ici,₺ - Türk Lirası,20499
143,Middle,MOBILE APPLICATION DEVELOPER,1 - 3 Yıl,Erkek,Startup,Remote,yurt_ici,₺ - Türk Lirası,15499
144,Junior,FRONT-END DEVELOPER,0 - 1 Yıl,Erkek,Startup,Remote,yurt_ici,₺ - Türk Lirası,7499
145,Senior,BACK-END DEVELOPER,5 - 7 Yıl,Erkek,Kurumsal,Geçici Hibrit,yurt_ici,₺ - Türk Lirası,24499
146,Middle,FRONT-END DEVELOPER,3 - 5 Yıl,Erkek,Startup,Remote,yurt_ici,₺ - Türk Lirası,20499
147,Junior,QA / TEST AUTOMATION DEVELOPER,1 - 3 Yıl,Erkek,Kurumsal,Hibrit,yurt_ici,₺ - Türk Lirası,10499
148,Middle,DEVOPS ENGINEER,1 - 3 Yıl,Kadın,E-Ticaret,Remote,yurt_ici,₺ - Türk Lirası,17499
149,Senior,FULL STACK DEVELOPER,5 - 7 Yıl,Erkek,Startup,Remote,yurt_ici,€ - Euro,68135
150,Middle,FRONT-END DEVELOPER,3 - 5 Yıl,Erkek,Startup,Remote,yurt_ici,₺ - Türk Lirası,17499
151,Junior,FRONT-END DEVELOPER,1 - 3 Yıl,Erkek,E-Ticaret,Remote,yurt_ici,₺ - Türk Lirası,18499
152,Senior,MOBILE APPLICATION DEVELOPER,7 - 10 Yıl,Erkek,Kurumsal,Remote,yurt_ici,$ - Dolar,46565
153,Middle,FULL STACK DEVELOPER,15 Yıl ve üzeri,Erkek,DIGER,Remote,yurt_ici,₺ - Türk Lirası,13499
154,Senior,TEAM / TECH LEAD,10 - 14 Yıl,Erkek,Startup,Hibrit,yurt_ici,₺ - Türk Lirası,15499
155,Senior,MOBILE APPLICATION DEVELOPER,7 - 10 Yıl,Erkek,Startup,Remote,yurt_ici,₺ - Türk Lirası,30499
156,Senior,TEAM / TECH LEAD,3 - 5 Yıl,Erkek,Startup,Ofis,yurt_ici,₺ - Türk Lirası,16499
157,Junior,MOBILE APPLICATION DEVELOPER,0 - 1 Yıl,Erkek,Startup,Hibrit,yurt_ici,₺ - Türk Lirası,8499
158,Middle,FULL STACK DEVELOPER,3 - 5 Yıl,Erkek,Outsource,Geçici Remote,yurt_disi,€ - Euro,48665
159,Junior,BACK-END DEVELOPER,1 - 3 Yıl,Erkek,Startup,Ofis,yurt_ici,₺ - Türk Lirası,9499
160,Middle,FULL STACK DEVELOPER,5 - 7 Yıl,Erkek,Kurumsal,Hibrit,yurt_ici,₺ - Türk Lirası,10499
161,Senior,BACK-END DEVELOPER,15 Yıl ve üzeri,Erkek,Startup,Hibrit,yurt_ici,₺ - Türk Lirası,10499
162,Middle,DATA SCIENTIST,3 - 5 Yıl,Erkek,Oyun,Hibrit,yurt_ici,₺ - Türk Lirası,40499
163,Senior,FULL STACK DEVELOPER,15 Yıl ve üzeri,Erkek,Kurumsal,Remote,yurt_ici,₺ - Türk Lirası,23499
164,Middle,FULL STACK DEVELOPER,1 - 3 Yıl,Erkek,Outsource,Hibrit,yurt_ici,$ - Dolar,195605
165,Middle,FULL STACK DEVELOPER,1 - 3 Yıl,Erkek,Startup,Remote,yurt_ici,₺ - Türk Lirası,10499
166,Middle,FRONT-END DEVELOPER,3 - 5 Yıl,Kadın,Kurumsal,Hibrit,yurt_ici,₺ - Türk Lirası,9499
167,Junior,BACK-END DEVELOPER,0 - 1 Yıl,Erkek,E-Ticaret,Remote,yurt_ici,₺ - Türk Lirası,17499
168,Senior,DATA SCIENTIST,5 - 7 Yıl,Erkek,Kurumsal,Hibrit,yurt_ici,₺ - Türk Lirası,18499
169,Junior,FRONT-END DEVELOPER,0 - 1 Yıl,Erkek,Kurumsal,Ofis,yurt_ici,₺ - Türk Lirası,5499
170,Senior,FRONT-END DEVELOPER,7 - 10 Yıl,Erkek,Kurumsal,Remote,yurt_ici,₺ - Türk Lirası,30499
171,Middle,SOFTWARE ARCHITECT,3 - 5 Yıl,Erkek,Kurumsal,Geçici Remote,yurt_disi,$ - Dolar,65195
172,Junior,BACK-END DEVELOPER,1 - 3 Yıl,Erkek,Startup,Remote,yurt_ici,₺ - Türk Lirası,5499
173,Senior,TEAM / TECH LEAD,7 - 10 Yıl,Erkek,Startup,Remote,yurt_ici,₺ - Türk Lirası,37499
174,Junior,FRONT-END DEVELOPER,1 - 3 Yıl,Erkek,Outsource,Remote,yurt_ici,₺ - Türk Lirası,19499
175,Middle,MOBILE APPLICATION DEVELOPER,3 - 5 Yıl,Erkek,Outsource,Remote,yurt_ici,₺ - Türk Lirası,16499
176,Senior,EMBEDDED SOFTWARE DEVELOPER,10 - 14 Yıl,Erkek,Kurumsal,Hibrit,yurt_disi,€ - Euro,87605
177,Junior,MOBILE APPLICATION DEVELOPER,0 - 1 Yıl,Erkek,Dijital / Reklam Ajansı,Remote,yurt_ici,₺ - Türk Lirası,7499
178,Middle,FRONT-END DEVELOPER,1 - 3 Yıl,Erkek,Outsource,Ofis,yurt_disi,€ - Euro,48665
179,Junior,BACK-END DEVELOPER,0 - 1 Yıl,Erkek,E-Ticaret,Remote,yurt_ici,₺ - Türk Lirası,5499
180,Junior,QA / TEST AUTOMATION DEVELOPER,0 - 1 Yıl,Erkek,Outsource,Remote,yurt_ici,₺ - Türk Lirası,7499
181,Senior,BACK-END DEVELOPER,7 - 10 Yıl,Erkek,Kurumsal,Geçici Hibrit,yurt_disi,€ - Euro,68135
182,Senior,FRONT-END DEVELOPER,5 - 7 Yıl,Erkek,Dijital / Reklam Ajansı,Remote,yurt_ici,₺ - Türk Lirası,12499
183,Senior,FULL STACK DEVELOPER,7 - 10 Yıl,Erkek,Startup,Remote,yurt_ici,₺ - Türk Lirası,7499
184,Senior,CTO,15 Yıl ve üzeri,Erkek,E-Ticaret,Geçici Hibrit,yurt_ici,₺ - Türk Lirası,25499
185,Senior,SOFTWARE ARCHITECT,7 - 10 Yıl,Erkek,Kurumsal,Geçici Hibrit,yurt_ici,₺ - Türk Lirası,15499
186,Senior,MOBILE APPLICATION DEVELOPER,5 - 7 Yıl,Erkek,E-Ticaret,Remote,yurt_ici,₺ - Türk Lirası,35499
187,Senior,MOBILE APPLICATION DEVELOPER,3 - 5 Yıl,Erkek,E-Ticaret,Remote,yurt_ici,₺ - Türk Lirası,19499
188,Senior,MOBILE APPLICATION DEVELOPER,10 - 14 Yıl,Erkek,Kurumsal,Geçici Remote,yurt_ici,₺ - Türk Lirası,23499
189,Middle,FULL STACK DEVELOPER,10 - 14 Yıl,Erkek,Dijital / Reklam Ajansı,Geçici Remote,yurt_ici,₺ - Türk Lirası,20499
190,Middle,MOBILE APPLICATION DEVELOPER,3 - 5 Yıl,Erkek,Startup,Geçici Remote,yurt_ici,₺ - Türk Lirası,22499
191,Junior,FULL STACK DEVELOPER,1 - 3 Yıl,Erkek,DIGER,Geçici Remote,yurt_ici,₺ - Türk Lirası,10499
192,Senior,BACK-END DEVELOPER,10 - 14 Yıl,Erkek,E-Ticaret,Remote,yurt_ici,₺ - Türk Lirası,17499
193,Middle,BACK-END DEVELOPER,1 - 3 Yıl,Erkek,Kurumsal,Remote,yurt_ici,₺ - Türk Lirası,10499
194,Senior,FULL STACK DEVELOPER,15 Yıl ve üzeri,Erkek,Kurumsal,Geçici Remote,yurt_ici,₺ - Türk Lirası,14499
195,Middle,FULL STACK DEVELOPER,5 - 7 Yıl,Erkek,Outsource,Remote,yurt_ici,₺ - Türk Lirası,13499
196,Senior,FULL STACK DEVELOPER,10 - 14 Yıl,Erkek,Startup,Remote,yurt_disi,$ - Dolar,46565
197,Junior,FRONT-END DEVELOPER,0 - 1 Yıl,Erkek,Oyun,Ofis,yurt_ici,₺ - Türk Lirası,6499
