,LEVEL,POSITION,TECH_STACK,EXPERIENCE,GENDER,COMPANY,COMPANY_SIZE,WORK_TYPE,CITY,CURRENCY,SALARY_FOR_OTHER_CURRENCY,SALARY_FOR_TL_CURRENCY,MIN_TL,MAX_TL,CUR_MIN,CUR_MAX
57,Middle,DATA SCIENTIST,Python,3 - 5 Yıl,Erkek,Kurumsal,100 - 250 Kişi,Hibrit,İstanbul,₺ - Türk Lirası,,18.000 TL - 18.999 TL,18000.0,18999.0,0.0,0.0
58,Junior,GAME DEVELOPER,Unity,1 - 3 Yıl,Erkek,Oyun,25 - 50 Kişi,Remote,İstanbul,₺ - Türk Lirası,,9.000 TL - 9.999 TL,9000.0,9999.0,0.0,0.0
59,Middle,MOBILE APPLICATION DEVELOPER,Swift / Objective C,3 - 5 Yıl,Erkek,Kurumsal,250+,Geçici Remote,İstanbul,₺ - Türk Lirası,,12.000 TL - 12.999 TL,12000.0,12999.0,0.0,0.0
60,Senior,FULL STACK DEVELOPER,"Php, JavaScript | Html | Css, Flutter",7 - 10 Yıl,Erkek,Kurumsal,1 - 10 Kişi,Ofis,Gaziantep,₺ - Türk Lirası,,6.000 TL - 6.999 TL,6000.0,6999.0,0.0,0.0
61,Middle,FRONT-END DEVELOPER,"JavaScript | Html | Css, React, Vue",1 - 3 Yıl,Kadın,E-Ticaret,250+,Remote,İstanbul,₺ - Türk Lirası,,15.000 TL - 15.999 TL,15000.0,15999.0,0.0,0.0
62,Junior,BACK-END DEVELOPER,"Java, .Net, JavaScript | Html | Css",0 - 1 Yıl,Erkek,Kurumsal,250+,Remote,İzmir,₺ - Türk Lirası,,9.000 TL - 9.999 TL,9000.0,9999.0,0.0,0.0
63,Senior,TEAM / TECH LEAD,Python,10 - 14 Yıl,Erkek,E-Ticaret,250+,Geçici Remote,Yurt Dışı,€ - Euro,5.000 - 5.999,,97350.0,116800.53,5000.0,5999.0
64,Senior,BACK-END DEVELOPER,"Php, JavaScript | Html | Css, Vue",10 - 14 Yıl,Erkek,Outsource,10 - 25 Kişi,Hibrit,İstanbul,₺ - Türk Lirası,,14.000 TL - 14.999 TL,14000.0,14999.0,0.0,0.0
65,Middle,BACK-END DEVELOPER,Node.js,3 - 5 Yıl,Erkek,Kurumsal,250+,Geçici Remote,İstanbul,₺ - Türk Lirası,,26.000 TL - 26.999 TL,26000.0,26999.0,0.0,0.0
66,Senior,BACK-END DEVELOPER,"Php, Go, JavaScript | Html | Css, Vue, Angular",7 - 10 Yıl,Erkek,Startup,50 - 100 Kişi,Hibrit,İstanbul,₺ - Türk Lirası,,19.000 TL - 19.999 TL,19000.0,19999.0,0.0,0.0
67,Senior,MOBILE APPLICATION DEVELOPER,Kotlin,5 - 7 Yıl,Erkek,Kurumsal,250+,Hibrit,İstanbul,₺ - Türk Lirası,,25.000 TL - 25.999 TL,25000.0,25999.0,0.0,0.0
68,Middle,BACK-END DEVELOPER,Java,3 - 5 Yıl,Erkek,Kurumsal,250+,Hibrit,İstanbul,₺ - Türk Lirası,,12.000 TL - 12.999 TL,12000.0,12999.0,0.0,0.0
69,Middle,FULL STACK DEVELOPER,"JavaScript | Html | Css, Vue, Node.js",1 - 3 Yıl,Erkek,Startup,25 - 50 Kişi,Remote,Konya,$ - Dolar,2.000 - 2.999,,37260.0,55871.369999999995,2000.0,2999.0
70,Middle,TEAM / TECH LEAD,Python,3 - 5 Yıl,Erkek,Kurumsal,100 - 250 Kişi,Hibrit,İstanbul,₺ - Türk Lirası,,22.000 TL - 22.999 TL,22000.0,22999.0,0.0,0.0
71,Middle,FULL STACK DEVELOPER,"Php, Flutter",3 - 5 Yıl,Erkek,Kurumsal,25 - 50 Kişi,Ofis,Yurt Dışı,₺ - Türk Lirası,,9.000 TL - 9.999 TL,9000.0,9999.0,0.0,0.0
72,Senior,FULL STACK DEVELOPER,"Java, React",5 - 7 Yıl,Erkek,Startup,25 - 50 Kişi,Remote,İzmir,₺ - Türk Lirası,,30.000 TL - 30.999 TL,30000.0,30999.0,0.0,0.0
73,Middle,FRONT-END DEVELOPER,"JavaScript | Html | Css, React, Vue",3 - 5 Yıl,Erkek,Outsource,250+,Hibrit,İstanbul,€ - Euro,2.000 - 2.999,,38940.0,58390.53,2000.0,2999.0
74,Senior,FRONT-END DEVELOPER,"JavaScript | Html | Css, Vue",5 - 7 Yıl,Erkek,E-Ticaret,50 - 100 Kişi,Remote,İstanbul,₺ - Türk Lirası,,20.000 TL - 20.999 TL,20000.0,20999.0,0.0,0.0
75,Senior,FULL STACK DEVELOPER,"Php, JavaScript | Html | Css",10 - 14 Yıl,Erkek,Startup,25 - 50 Kişi,Hibrit,İstanbul,€ - Euro,2.000 - 2.999,,38940.0,58390.53,2000.0,2999.0
76,Senior,BACK-END DEVELOPER,Java,10 - 14 Yıl,Erkek,Startup,25 - 50 Kişi,Hibrit,İstanbul,₺ - Türk Lirası,,25.000 TL - 25.999 TL,25000.0,25999.0,0.0,0.0
77,Middle,FULL STACK DEVELOPER,"JavaScript | Html | Css, Angular",3 - 5 Yıl,Erkek,Startup,1 - 10 Kişi,Remote,İstanbul,€ - Euro,2.000 - 2.999,,38940.0,58390.53,2000.0,2999.0
78,Senior,TEAM / TECH LEAD,"Php, JavaScript | Html | Css, React, Vue",10 - 14 Yıl,Erkek,Kurumsal,25 - 50 Kişi,Geçici Hibrit,İstanbul,₺ - Türk Lirası,,20.000 TL - 20.999 TL,20000.0,20999.0,0.0,0.0
79,Senior,BACK-END DEVELOPER,Node.js,5 - 7 Yıl,Erkek,E-Ticaret,250+,Geçici Remote,İstanbul,₺ - Türk Lirası,,18.000 TL - 18.999 TL,18000.0,18999.0,0.0,0.0
80,Middle,BACK-END DEVELOPER,"Java, .Net",1 - 3 Yıl,Erkek,Kurumsal,250+,Geçici Hibrit,İstanbul,₺ - Türk Lirası,,17.000 TL - 17.999 TL,17000.0,17999.0,0.0,0.0
81,Junior,GAME DEVELOPER,"Unity, C#",1 - 3 Yıl,Erkek,Startup,1 - 10 Kişi,Ofis,Bolu,₺ - Türk Lirası,,5.000 TL - 5.999 TL,5000.0,5999.0,0.0,0.0
82,Senior,SOFTWARE ARCHITECT,sap abap,7 - 10 Yıl,Erkek,Kurumsal,250+,Hibrit,İstanbul,₺ - Türk Lirası,,23.000 TL - 23.999 TL,23000.0,23999.0,0.0,0.0
83,Middle,BACK-END DEVELOPER,"Java, Python",5 - 7 Yıl,Erkek,E-Ticaret,250+,Remote,İstanbul,₺ - Türk Lirası,,17.000 TL - 17.999 TL,17000.0,17999.0,0.0,0.0
84,Senior,FULL STACK DEVELOPER,".Net, JavaScript | Html | Css, Angular",5 - 7 Yıl,Erkek,Kurumsal,100 - 250 Kişi,Remote,İstanbul,$ - Dolar,2.000 - 2.999,,37260.0,55871.369999999995,2000.0,2999.0
85,Junior,BACK-END DEVELOPER,Java,1 - 3 Yıl,Erkek,Outsource,250+,Hibrit,İstanbul,₺ - Türk Lirası,,9.000 TL - 9.999 TL,9000.0,9999.0,0.0,0.0
86,Middle,OTHERS,UiPath,1 - 3 Yıl,Erkek,Outsource,100 - 250 Kişi,Geçici Remote,İstanbul,₺ - Türk Lirası,,16.000 TL - 16.999 TL,16000.0,16999.0,0.0,0.0
87,Senior,BACK-END DEVELOPER,.Net,5 - 7 Yıl,Erkek,Kurumsal,250+,Remote,İstanbul,₺ - Türk Lirası,,19.000 TL - 19.999 TL,19000.0,19999.0,0.0,0.0
88,Middle,BACK-END DEVELOPER,.Net,3 - 5 Yıl,Erkek,E-Ticaret,1 - 10 Kişi,Remote,İstanbul,₺ - Türk Lirası,,9.000 TL - 9.999 TL,9000.0,9999.0,0.0,0.0
89,Middle,FULL STACK DEVELOPER,"React, Nodejs",1 - 3 Yıl,Erkek,Kurumsal,100 - 250 Kişi,Remote,İstanbul,₺ - Türk Lirası,,16.000 TL - 16.999 TL,16000.0,16999.0,0.0,0.0
90,Junior,MOBILE APPLICATION DEVELOPER,"Java, Kotlin",1 - 3 Yıl,Kadın,Kurumsal,250+,Remote,İstanbul,₺ - Türk Lirası,,11.000 TL - 11.999 TL,11000.0,11999.0,0.0,0.0
91,Senior,EMBEDDED SOFTWARE DEVELOPER,C / C++,7 - 10 Yıl,Erkek,Kurumsal,250+,Remote,Yurt Dışı,$ - Dolar,2.000 - 2.999,,37260.0,55871.369999999995,2000.0,2999.0
92,Middle,BACK-END DEVELOPER,"Java, Kotlin",3 - 5 Yıl,Erkek,Outsource,250+,Remote,İstanbul,₺ - Türk Lirası,,16.000 TL - 16.999 TL,16000.0,16999.0,0.0,0.0
93,Junior,FULL STACK DEVELOPER,".Net, JavaScript | Html | Css, Jquery",0 - 1 Yıl,Erkek,Kurumsal,250+,Remote,İstanbul,₺ - Türk Lirası,,5.000 TL - 5.999 TL,5000.0,5999.0,0.0,0.0
94,Junior,BACK-END DEVELOPER,Java,0 - 1 Yıl,Erkek,Kurumsal,250+,Geçici Remote,İstanbul,₺ - Türk Lirası,,6.000 TL - 6.999 TL,6000.0,6999.0,0.0,0.0
95,Junior,DATA SCIENTIST,Python,0 - 1 Yıl,Erkek,Startup,10 - 25 Kişi,Ofis,İstanbul,₺ - Türk Lirası,,5.000 TL - 5.999 TL,5000.0,5999.0,0.0,0.0
96,Middle,FULL STACK DEVELOPER,"Go, Vue, Flutter",3 - 5 Yıl,Erkek,E-Ticaret,250+,Remote,İstanbul,₺ - Türk Lirası,,20.000 TL - 20.999 TL,20000.0,20999.0,0.0,0.0
97,Junior,FRONT-END DEVELOPER,"JavaScript | Html | Css, React",0 - 1 Yıl,Erkek,E-Ticaret,50 - 100 Kişi,Remote,İstanbul,₺ - Türk Lirası,,15.000 TL - 15.999 TL,15000.0,15999.0,0.0,0.0
98,Middle,BACK-END DEVELOPER,Ruby,1 - 3 Yıl,Erkek,E-Ticaret,50 - 100 Kişi,Hibrit,Ankara,₺ - Türk Lirası,,19.000 TL - 19.999 TL,19000.0,19999.0,0.0,0.0
99,Middle,FRONT-END DEVELOPER,"JavaScript | Html | Css, React",10 - 14 Yıl,Erkek,E-Ticaret,250+,Geçici Remote,İstanbul,₺ - Türk Lirası,,28.000 TL - 28.999 TL,28000.0,28999.0,0.0,0.0
100,Middle,QA / TEST AUTOMATION DEVELOPER,Java,3 - 5 Yıl,Erkek,Kurumsal,250+,Geçici Remote,Yurt Dışı,$ - Dolar,10.000 ve üzeri,,186300.0,204911.37,10000.0,10999.0
101,Senior,BACK-END DEVELOPER,"Go, Python",5 - 7 Yıl,Erkek,Startup,250+,Geçici Remote,İstanbul,₺ - Türk Lirası,,22.000 TL - 22.999 TL,22000.0,22999.0,0.0,0.0
102,Middle,MOBILE APPLICATION DEVELOPER,Flutter,1 - 3 Yıl,Erkek,Kurumsal,250+,Hibrit,Kayseri ,₺ - Türk Lirası,,10.000 TL - 10.999 TL,10000.0,10999.0,0.0,0.0
103,Senior,BACK-END DEVELOPER,"Java, Vue",7 - 10 Yıl,Erkek,Startup,10 - 25 Kişi,Remote,Yurt Dışı,₺ - Türk Lirası,,20.000 TL - 20.999 TL,20000.0,20999.0,0.0,0.0
104,Senior,BACK-END DEVELOPER,Java,5 - 7 Yıl,Erkek,Kurumsal,250+,Remote,İstanbul,₺ - Türk Lirası,,26.000 TL - 26.999 TL,26000.0,26999.0,0.0,0.0
105,Middle,FULL STACK DEVELOPER,"JavaScript | Html | Css, React",3 - 5 Yıl,Erkek,Startup,25 - 50 Kişi,Remote,Yurt Dışı,$ - Dolar,3.000 - 3.999,,55890.0,74501.37,3000.0,3999.0
106,Middle,FULL STACK DEVELOPER,".Net, JavaScript | Html | Css",3 - 5 Yıl,Erkek,Kurumsal,100 - 250 Kişi,Geçici Hibrit,Ankara,₺ - Türk Lirası,,15.000 TL - 15.999 TL,15000.0,15999.0,0.0,0.0
107,Senior,FULL STACK DEVELOPER,.Net,7 - 10 Yıl,Erkek,Kurumsal,50 - 100 Kişi,Remote,İstanbul,₺ - Türk Lirası,,17.000 TL - 17.999 TL,17000.0,17999.0,0.0,0.0
108,Senior,BACK-END DEVELOPER,.Net,10 - 14 Yıl,Erkek,Kurumsal,100 - 250 Kişi,Ofis,Malatya,₺ - Türk Lirası,,27.000 TL - 27.999 TL,27000.0,27999.0,0.0,0.0
109,Junior,MOBILE APPLICATION DEVELOPER,Swift / Objective C,0 - 1 Yıl,Erkek,Kurumsal,100 - 250 Kişi,Remote,İstanbul,₺ - Türk Lirası,,8.000 TL - 8.999 TL,8000.0,8999.0,0.0,0.0
110,Senior,BACK-END DEVELOPER,"Php, Perl",7 - 10 Yıl,Erkek,Kurumsal,50 - 100 Kişi,Remote,İstanbul,₺ - Türk Lirası,,16.000 TL - 16.999 TL,16000.0,16999.0,0.0,0.0
111,Junior,QA / TEST AUTOMATION DEVELOPER,Postman/SoapUı,0 - 1 Yıl,Kadın,Outsource,100 - 250 Kişi,Remote,İstanbul,₺ - Türk Lirası,,6.000 TL - 6.999 TL,6000.0,6999.0,0.0,0.0
112,Senior,BACK-END DEVELOPER,"Php, JavaScript | Html | Css",10 - 14 Yıl,Erkek,Kurumsal,250+,Ofis,İstanbul,₺ - Türk Lirası,,15.000 TL - 15.999 TL,15000.0,15999.0,0.0,0.0
113,Junior,BACK-END DEVELOPER,"Java, .Net, JavaScript | Html | Css, React",0 - 1 Yıl,Erkek,E-Ticaret,250+,Remote,İstanbul,₺ - Türk Lirası,,12.000 TL - 12.999 TL,12000.0,12999.0,0.0,0.0
114,Middle,FRONT-END DEVELOPER,"JavaScript | Html | Css, React, Angular",1 - 3 Yıl,Erkek,Kurumsal,100 - 250 Kişi,Hibrit,Ankara,₺ - Türk Lirası,,12.000 TL - 12.999 TL,12000.0,12999.0,0.0,0.0
115,Senior,FULL STACK DEVELOPER,"Java, React",5 - 7 Yıl,Erkek,Kurumsal,250+,Hibrit,İzmir,₺ - Türk Lirası,,26.000 TL - 26.999 TL,26000.0,26999.0,0.0,0.0
116,Middle,FULL STACK DEVELOPER,Java,1 - 3 Yıl,Erkek,Kurumsal,50 - 100 Kişi,Hibrit,İstanbul,₺ - Türk Lirası,,16.000 TL - 16.999 TL,16000.0,16999.0,0.0,0.0
